id,url,createdAt,text,authorUsername,authorName,authorFollowers,likeCount,replyCount,retweetCount,quoteCount,bookmarkCount,viewCount,lang,conversationId,inReplyToUsername,depth
"2098149346260709556","https://x.com/SamiTheAlien/status/2098149346260709556","Thu Sep 10 20:39:20 +0000 2026","@eminimnim How much did it all cost?","SamiTheAlien","Billa 🌾","1731","0","0","0","0","0","47","en","2098072497182666987","eminimnim","1"
"2098149392402268314","https://x.com/3rosika/status/2098149392402268314","Thu Sep 10 20:39:31 +0000 2026","@eminimnim um heck yes please!!!!","3rosika","Erosika","795","0","0","0","0","0","201","en","2098072497182666987","eminimnim","1"
"2098149467686162439","https://x.com/marianna_mano/status/2098149467686162439","Thu Sep 10 20:39:49 +0000 2026","@eminimnim wow so cool","marianna_mano","Marianna🐆⚡️","15","0","0","0","0","0","20","en","2098072497182666987","eminimnim","1"
"2098149504499200340","https://x.com/3rosika/status/2098149504499200340","Thu Sep 10 20:39:58 +0000 2026","@eminimnim reminds me of monome arc","3rosika","Erosika","795","0","0","0","0","0","138","en","2098072497182666987","eminimnim","1"
"2098149681406607543","https://x.com/angelocasarin/status/2098149681406607543","Thu Sep 10 20:40:40 +0000 2026","@eminimnim Nice! The prompts are available for sharing? I""m trying to do the same with a small raspberry pi game box + a customized OS with arcade console emulators. Trying to build some concepts for the box.","angelocasarin","Angelo Casarin","112","1","0","0","0","0","1146","en","2098072497182666987","eminimnim","1"
"2098149759592640749","https://x.com/alexflorias/status/2098149759592640749","Thu Sep 10 20:40:59 +0000 2026","@eminimnim This doesnt even cover having an internal DAC for audio processing In order to avoid the high audio latency of modern operating systems, youll need and internal DAC to process what youre mixing, and signed ASIO drivers for kernal level support","alexflorias","Alex","23971","1","0","0","0","0","134","en","2098072497182666987","alexflorias","2"
"2098149818615091671","https://x.com/jiceman/status/2098149818615091671","Thu Sep 10 20:41:13 +0000 2026","@eminimnim Will it work?","jiceman","John Eisenman (Jice)","314","0","0","0","0","0","73","en","2098072497182666987","eminimnim","1"
"2098150106339893660","https://x.com/SMatsiutsia/status/2098150106339893660","Thu Sep 10 20:42:21 +0000 2026","@k_grajeda @eminimnim https://t.co/t4UA5I9gpn","SMatsiutsia","Sofiia Matsiutsia","354","0","0","0","0","0","76","qme","2098072497182666987","k_grajeda","2"
"2098150714560352336","https://x.com/hellohsuh/status/2098150714560352336","Thu Sep 10 20:44:46 +0000 2026","@eminimnim @aalimbuyuguen yooooo","hellohsuh","h 🪽 partner @ INTDEV","192","1","1","0","0","0","36","und","2098072497182666987","eminimnim","1"
"2098150979598196879","https://x.com/kubukoz/status/2098150979598196879","Thu Sep 10 20:45:49 +0000 2026","@Spunkworks @eminimnim look at those ivory keys https://t.co/6rFx9XsmT6","kubukoz","Jakub Kozłowski","4788","1","0","0","0","0","10","en","2098072497182666987","Spunkworks","2"
"2098151008195039545","https://x.com/eksosedron/status/2098151008195039545","Thu Sep 10 20:45:56 +0000 2026","@eminimnim GitHub it, for crowdsourced validation?","eksosedron","Dijon McClane","145","6","1","0","0","0","3959","en","2098072497182666987","eminimnim","1"
"2098151329969619173","https://x.com/bchap1n/status/2098151329969619173","Thu Sep 10 20:47:13 +0000 2026","@eminimnim wat https://t.co/1EILOpscDP","bchap1n","brrrock","533","0","0","0","0","0","27","und","2098072497182666987","eminimnim","1"
"2098151335703044106","https://x.com/The_X_Officer/status/2098151335703044106","Thu Sep 10 20:47:14 +0000 2026","@eminimnim OK, then the software?","The_X_Officer","The_X_Officer","47","0","0","0","0","0","367","en","2098072497182666987","eminimnim","1"
